zcta,JobsTotal1000,JobsAgriculture1000,JobsEntertainment1000,JobsConstruction1000,JobsHealthcare1000,JobsManufacturing1000,JobsProfessional1000,JobsRealestate1000,JobsTrade1000,JobsTransport1000,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty,y
1095,20,0,0,1,2,0,3,0,0,0,14290,547,104,272,171,10115,11723,755,0,0
1096,20,0,0,2,1,2,3,0,0,1,2564,224,78,136,10,1861,2041,191,11,0
1097,25,0,0,0,0,0,0,0,0,0,78,42,31,11,0,36,55,0,0,0
1098,17,0,3,1,1,0,2,0,0,0,1109,65,17,34,14,858,983,146,0,0
1103,224,0,7,4,29,2,98,10,3,2,2425,1333,390,902,41,1717,2002,444,19,0
1104,24,0,0,1,4,1,1,0,2,1,22929,7215,2758,3962,495,14379,17698,1399,17,0
1105,24,0,1,0,3,0,2,1,1,0,11257,6260,2264,3803,193,6774,8351,768,10,1
1106,18,0,0,0,3,0,4,1,0,0,15245,640,172,251,217,10979,12171,693,19,1
1107,13,0,0,0,6,0,0,0,0,0,11323,5176,2245,2704,227,6448,8256,489,12,0
1108,9,0,0,0,1,0,0,0,0,0,28259,8447,3628,4565,254,16598,20944,1601,80,0
1109,11,0,0,0,1,0,0,0,0,0,27087,8147,3149,4468,530,15999,20585,1507,14,1
1118,9,0,0,1,2,0,0,0,0,0,14136,2027,796,1071,160,9869,11245,1373,0,0
1119,12,0,0,0,1,0,0,0,0,0,12218,1952,626,1141,185,8164,9791,817,25,0
1128,19,0,0,3,2,0,3,0,0,0,2664,58,8,50,0,1969,2376,174,0,0
1129,22,0,0,0,1,0,1,0,0,0,7131,1010,359,538,113,5138,5818,503,7,0
1151,15,0,0,1,1,2,1,0,0,0,9286,2611,1233,1225,153,5484,6668,639,0,1
1201,29,0,1,2,5,1,4,0,1,0,44140,7152,2149,4291,712,32023,36385,3756,124,1
1220,19,0,0,3,1,0,1,0,0,0,8257,852,230,472,150,6046,6982,700,8,0
1222,20,0,1,4,0,4,0,0,2,0,829,45,0,39,6,659,720,99,0,0
1223,18,0,1,5,0,0,0,0,0,0,2230,129,29,80,20,1796,1960,184,0,0
1224,17,0,0,5,0,5,0,0,0,0,176,20,10,10,0,144,171,56,0,0
1225,17,0,0,4,0,0,0,0,0,0,3169,154,23,122,9,2442,2745,327,33,1
1226,18,0,0,3,1,1,2,1,0,0,6771,732,175,396,161,5025,5748,497,16,1
1229,29,0,0,0,0,0,9,0,0,0,102,5,0,5,0,80,80,0,0,0
1230,58,0,3,5,6,1,8,1,1,0,7251,439,131,279,29,5674,6278,865,10,1
1235,18,0,0,6,0,0,0,0,0,0,2666,185,38,120,27,2026,2192,201,0,0
1236,32,0,0,7,1,2,3,0,0,0,1341,20,0,9,11,890,1081,23,6,0
1237,44,0,1,6,2,1,1,1,0,0,2753,123,0,115,8,1904,2173,128,1,0
1238,48,0,1,4,2,1,4,0,1,0,5797,607,91,442,74,4362,4921,396,0,1
1240,57,0,3,3,4,1,8,1,1,0,4301,353,40,182,131,3448,3782,253,0,1
1242,39,0,0,6,2,0,2,4,0,2,429,3,0,3,0,296,297,72,0,0
1243,15,2,0,5,0,2,0,2,0,0,381,26,3,15,8,334,348,35,0,0
1244,36,0,0,12,12,0,12,0,0,0,82,9,0,0,9,73,73,9,0,0
1245,27,0,4,6,2,1,2,0,0,0,864,106,20,83,3,718,780,83,6,0
1247,22,0,1,2,2,1,2,0,0,0,14711,2580,696,1542,342,10890,12439,1083,8,0
1253,44,0,2,16,4,0,1,2,0,0,734,20,0,6,14,595,622,24,0,0
1254,30,1,1,9,2,0,5,0,2,0,985,68,7,55,6,823,876,72,0,0
1255,24,1,1,7,1,0,1,0,0,1,813,36,0,28,8,576,682,49,0,1
1256,6,0,0,2,1,2,0,0,0,0,755,58,24,22,12,567,642,40,0,0
1257,50,0,1,10,0,6,3,0,0,1,2164,341,139,163,39,1643,1887,274,12,0
1258,91,0,2,19,5,0,13,2,2,0,359,29,0,18,11,336,340,59,0,0
1259,44,0,3,12,0,0,3,1,3,0,556,40,6,34,0,510,537,63,0,0
1260,22,0,1,1,0,3,3,1,1,0,545,26,0,11,15,316,410,86,0,0
1262,68,1,8,6,4,1,7,0,0,0,1136,164,6,115,43,949,1031,74,0,1
1264,6,0,6,0,0,0,0,0,0,0,155,26,0,10,16,141,144,9,0,0
1266,31,0,0,8,0,0,3,1,0,0,1378,64,0,48,16,1135,1205,113,0,0
1267,40,0,3,2,4,0,6,0,0,0,5267,584,111,401,72,3807,4291,433,27,0
1270,9,0,0,7,0,0,0,0,0,0,814,70,17,46,7,623,706,76,3,0
1301,33,0,1,1,6,1,4,1,1,0,17111,2217,621,1365,231,12531,14252,1777,25,0
1330,24,0,1,2,0,4,2,2,0,0,1463,81,14,54,13,1140,1276,153,4,0
1331,16,0,0,1,2,0,1,0,0,0,13040,2020,608,1284,128,9247,10738,968,6,0
1337,18,0,0,5,0,1,0,0,0,0,2584,188,40,102,46,1995,2158,221,8,0
1338,94,0,0,28,7,0,14,0,0,14,138,5,0,0,5,119,127,4,0,0
1339,21,0,2,3,0,0,1,0,0,1,1457,152,33,102,17,1084,1237,131,16,0
1340,10,0,0,2,0,2,0,0,0,0,1689,212,70,115,27,1290,1440,113,0,0
1341,15,0,1,3,1,1,1,0,0,0,1687,48,3,39,6,1246,1393,110,10,1
1342,16,0,1,1,0,1,0,0,0,0,1657,164,37,114,13,1305,1379,337,14,0
1343,21,0,0,21,0,0,0,0,0,0,46,0,0,0,0,46,46,0,0,0
1344,13,0,0,1,0,1,1,0,0,0,1549,201,73,116,12,1155,1294,161,11,0
1346,10,0,0,2,0,0,0,0,0,0,462,49,14,25,10,344,387,35,0,1
1347,7,0,0,7,0,0,0,0,0,0,133,22,0,16,6,96,106,27,6,0
1349,6,0,0,1,0,1,0,0,0,0,1103,47,17,25,5,778,928,91,0,0
1350,31,0,0,0,0,0,10,0,0,10,95,6,2,4,0,72,83,6,0,0
1351,12,0,0,2,0,0,2,0,1,0,2312,190,62,91,37,1782,1993,275,0,0
1354,13,0,0,3,1,0,0,0,0,1,1651,132,0,126,6,1282,1478,223,0,1
1355,21,1,3,2,1,2,2,0,0,1,915,56,2,39,15,703,763,100,5,0
1360,15,0,0,4,0,1,1,0,0,0,2978,127,10,90,27,2273,2470,272,10,1
1364,17,0,0,1,1,2,1,0,0,0,7761,1049,243,640,166,5599,6394,384,13,1
1366,25,0,1,4,1,0,4,1,0,0,1173,55,7,35,13,894,1042,78,0,0
1367,9,0,0,1,0,0,1,0,0,0,666,151,85,64,2,448,501,51,1,0
1368,6,0,0,2,0,0,0,0,0,0,1333,138,27,104,7,993,1143,100,4,1
1370,29,0,2,2,2,2,5,1,0,0,3847,378,75,285,18,2988,3348,317,4,0
1373,34,0,0,4,3,1,4,0,2,1,4182,234,24,172,38,3166,3461,377,0,0
1375,14,0,0,1,0,0,2,1,0,0,3636,645,31,610,4,2269,3160,560,36,1
1376,19,0,0,0,4,2,1,0,0,0,4968,1038,428,565,45,3738,4154,593,0,0
1378,6,0,0,1,0,0,0,0,0,0,731,64,12,39,13,586,658,64,0,1
1379,15,0,0,3,1,0,2,0,1,1,769,126,16,99,11,627,657,56,4,0
1420,19,0,0,1,3,1,2,0,0,0,38482,7368,2438,4289,641,25230,30466,3547,209,1
1430,15,0,0,3,1,1,2,0,0,0,6029,375,0,324,51,4177,4778,325,0,1
1431,18,0,0,6,0,1,1,0,0,0,3176,246,62,162,22,2270,2688,110,0,0
1432,30,0,0,3,2,3,3,1,1,2,7584,899,386,394,119,5573,6112,1167,0,0
1434,116,0,4,1,13,21,18,7,12,4,660,150,0,140,10,514,589,40,0,0
1436,9,0,0,2,1,0,0,0,0,0,3620,328,99,188,41,2420,2742,118,0,1
1438,29,0,1,3,0,4,3,0,1,3,635,161,82,79,0,523,538,1,0,1
1440,21,0,0,1,3,1,2,0,0,0,19179,3637,1273,2141,223,13156,15363,1702,6,1
1450,20,0,0,3,2,0,3,0,0,0,11104,441,43,322,76,7646,8806,440,0,0
1451,28,0,1,3,4,1,8,1,1,0,4611,201,68,121,12,3309,3577,276,0,1
1452,10,0,0,3,1,0,1,0,0,0,4537,223,66,133,24,3126,3615,275,13,1
1453,27,0,0,2,3,2,3,0,0,0,40917,5604,1717,3261,626,28896,33118,3662,0,0
1460,33,0,2,5,2,2,6,0,2,0,9407,268,50,194,24,6843,7688,613,8,0
1462,19,0,0,4,1,0,2,1,0,0,10897,809,242,406,161,7871,8926,818,15,0
1463,17,0,0,4,1,0,2,0,0,0,12023,589,110,405,74,8167,9411,670,6,0
1464,20,0,0,3,0,3,3,0,2,0,5882,622,221,363,38,4305,4912,488,0,0
1467,16,0,0,1,0,3,0,0,0,0,560,84,0,72,12,441,499,1,0,0
1468,16,0,0,3,0,1,2,0,0,0,3704,201,0,139,62,2932,3340,361,0,1
1469,17,0,0,3,0,0,2,0,0,0,7354,373,29,258,86,5022,5697,386,49,0
1473,23,0,0,4,2,1,1,0,1,0,7451,210,36,174,0,5358,6027,637,0,1
1474,13,0,0,5,0,0,0,0,0,0,1939,52,0,52,0,1354,1621,171,0,0
1475,13,0,0,2,1,1,0,0,0,0,10370,1225,435,689,101,7347,8253,477,27,0
1501,36,0,0,3,3,1,4,1,2,0,16142,717,88,402,227,11679,13532,1083,19,0
1503,26,0,0,5,0,0,1,1,1,0,3048,102,23,50,29,2295,2589,194,0,0
1504,14,0,0,4,0,0,0,0,0,0,9026,501,131,294,76,6111,7397,576,34,1
1505,27,0,2,5,0,1,5,2,0,1,4477,151,7,110,34,3198,3640,236,0,0
1506,12,0,0,2,1,1,0,0,0,0,3349,363,139,160,64,2492,2778,449,0,0
1507,19,0,0,4,1,0,2,0,0,0,13126,605,114,425,66,8998,10543,792,27,0
1510,17,0,0,2,1,1,2,0,1,0,13752,1354,320,794,240,9619,11445,1446,63,0
1515,19,0,1,1,0,0,2,0,0,1,2238,106,29,56,21,1589,1858,136,0,1
1516,14,0,0,4,0,1,1,0,0,0,8651,268,47,145,76,5790,6777,689,0,0
1518,20,0,0,1,0,0,3,0,0,0,3001,179,0,49,130,2124,2365,55,0,1
1519,15,0,0,2,1,0,2,0,0,0,6548,273,32,139,102,4703,5329,417,0,1
1520,18,0,0,2,2,0,3,0,0,0,14739,490,66,324,100,10257,11794,710,13,0
1521,8,0,0,1,0,0,0,0,0,0,2369,120,5,106,9,1729,2041,148,0,1
1522,9,0,0,1,0,0,1,0,0,0,3380,248,95,94,59,2242,2629,181,0,0
1523,19,0,1,2,2,0,3,0,1,0,6404,521,209,293,19,4520,5266,442,0,1
1524,17,0,0,4,1,0,2,0,0,0,6258,530,90,319,121,4751,5412,571,46,0
1525,171,0,0,23,31,7,23,7,0,0,128,0,0,0,0,86,106,27,0,0
1527,22,0,0,3,1,2,1,0,1,0,13259,896,266,425,205,9129,10735,896,42,1
1529,9,0,0,1,0,0,1,0,0,0,3214,225,79,111,35,2170,2490,148,0,1
1531,16,0,0,4,0,0,0,0,0,1,1090,64,23,36,5,808,893,82,0,0
1532,34,0,0,3,4,1,6,0,2,0,14671,465,59,270,136,9981,11561,783,13,0
1534,11,0,0,2,1,1,0,0,0,0,6266,499,174,232,93,4392,5050,389,11,0
1535,16,0,0,2,1,0,2,0,1,0,4744,245,41,163,41,3279,3931,313,13,0
1536,19,0,0,2,2,1,2,0,0,0,7528,651,106,478,67,5141,6111,624,0,0
1537,25,0,1,2,0,2,2,1,1,3,2548,364,153,211,0,1640,1963,224,0,0
1540,21,0,0,3,1,2,2,0,1,0,10829,1046,350,604,92,7609,8673,825,26,0
1541,20,0,0,2,1,1,4,1,0,0,3451,226,20,138,68,2454,2766,205,0,1
1542,14,0,0,3,1,0,0,0,0,0,2312,27,16,11,0,1767,1940,220,0,0
1543,13,0,0,3,0,0,1,0,0,0,8381,182,31,93,58,5474,6654,325,0,0
1545,22,0,0,1,2,0,3,1,1,0,35977,1391,310,795,286,23908,28299,2240,82,0
1550,19,0,0,1,3,1,1,0,1,0,16596,2728,735,1718,275,11151,13332,1648,53,0
1560,13,0,0,1,1,1,1,0,1,0,4472,339,120,158,61,2913,3322,420,11,1
1561,108,0,0,12,8,8,36,0,4,0,249,16,0,16,0,223,223,0,0,0
1562,18,0,0,3,1,1,2,0,0,0,11785,1320,370,696,254,8655,9760,1044,14,0
1564,24,0,0,5,2,2,3,0,1,0,7910,433,100,188,145,5573,6242,295,0,0
1566,36,0,0,2,4,2,7,1,0,0,6442,162,15,112,35,4512,5098,385,2,0
1568,21,0,0,6,1,1,2,0,0,0,7472,361,79,208,74,5146,5834,323,0,0
1569,20,0,0,3,0,1,2,0,1,0,13788,1122,412,592,118,9145,11088,881,20,0
1570,22,0,0,2,2,1,2,1,1,0,16415,2170,682,1328,160,11496,13472,1165,14,1
1571,15,0,0,3,0,1,1,0,0,0,10579,948,285,566,97,7334,8420,697,0,1
1581,50,0,2,2,5,2,12,1,3,0,18360,857,209,527,121,12614,14254,1301,6,0
1583,47,0,0,7,5,2,6,1,2,0,5105,389,103,223,63,3826,4263,347,33,0
1585,18,0,0,3,2,2,1,0,0,0,4440,316,67,214,35,3312,3745,293,0,0
1588,22,0,0,2,2,0,3,0,0,0,9550,791,282,385,124,6308,7537,786,21,0
1590,17,0,0,3,1,1,3,0,0,0,9184,186,13,135,38,6245,7205,654,0,0
1602,13,0,0,1,2,0,1,0,0,0,22443,2979,680,1863,436,16119,19038,2436,30,1
1603,20,0,0,1,2,1,1,0,0,0,20135,4471,1323,2693,455,13701,16252,1729,12,0
1604,20,0,0,2,2,0,1,0,1,0,35431,6897,2303,4064,530,24302,28483,4173,46,0
1605,23,0,0,1,5,0,4,0,1,0,27455,7360,2806,4099,455,17015,20965,2487,26,0
1606,24,0,1,1,2,1,3,0,1,0,18716,1910,375,1173,362,13520,15615,2193,20,0
1607,16,0,0,1,0,0,1,0,1,0,8600,1695,474,1113,108,6028,6887,1008,0,0
1608,155,0,3,2,24,2,63,5,4,2,3421,1764,686,1003,75,2077,2637,296,7,0
1609,33,0,1,1,7,0,7,1,0,0,15780,3933,770,2850,313,11144,13779,1586,51,0
1610,17,0,0,1,2,1,1,0,1,0,20537,7129,1697,5013,419,13395,16552,2425,64,1
1611,12,0,0,2,0,1,0,1,0,0,2466,113,0,103,10,1766,2003,272,0,0
1612,16,0,0,2,2,0,2,0,0,0,4360,156,36,66,54,3042,3477,215,0,0
1701,38,0,1,2,3,0,8,1,2,0,31474,1442,321,815,306,23405,26054,2174,15,0
1702,25,0,0,3,4,0,3,0,1,0,36291,6187,1829,3820,538,24887,29069,4440,133,0
1718,5,0,1,0,0,0,0,0,1,0,526,56,38,18,0,341,412,37,0,0
1719,24,0,1,3,1,1,7,0,1,0,5287,247,50,170,27,3626,4247,449,0,0
1720,31,0,1,2,3,1,7,0,1,0,22482,651,28,466,157,15402,17579,1235,7,0
1721,23,0,0,4,1,0,4,0,1,0,17372,655,109,398,148,12293,13834,1524,11,1
1730,39,0,2,3,3,1,10,1,2,0,13709,385,39,210,136,9495,10646,1003,13,1
1731,18,0,0,0,0,0,12,0,1,0,1887,94,64,30,0,872,1052,39,0,1
1740,24,0,0,3,1,0,7,1,1,0,5113,79,5,64,10,3437,3906,299,0,1
1741,20,0,1,2,1,1,7,0,0,0,5125,113,20,61,32,3553,3953,147,0,1
1742,44,0,3,2,7,1,11,2,1,0,17466,919,194,549,176,12134,13304,777,1,0
1745,35,0,2,4,4,0,12,0,2,2,482,0,0,0,0,258,278,7,0,0
1746,27,0,0,4,1,2,4,0,2,0,14263,291,45,187,59,9745,11043,489,11,1
1747,25,0,0,3,4,2,2,1,2,1,5883,119,0,26,93,4085,4719,377,0,0
1748,28,0,1,3,2,0,7,0,2,0,16163,418,108,270,40,10798,12185,619,5,0
1749,27,0,0,4,1,3,3,0,1,0,19626,1270,332,746,192,14363,16254,1415,10,0
1752,37,0,1,3,3,1,6,1,2,0,39061,2830,652,1880,298,27733,31662,4592,56,1
1754,25,0,1,3,1,0,5,1,1,0,10464,960,242,620,98,7726,8447,1012,16,0
1756,23,0,0,5,0,0,2,1,1,0,5944,33,0,18,15,3900,4628,185,0,0
1757,28,0,0,4,4,0,3,0,1,0,28431,2167,662,1280,225,19751,22266,2662,95,0
1760,38,0,1,2,3,1,7,1,1,0,34816,1161,323,643,195,24620,27294,2953,56,0
1770,23,0,1,3,2,0,6,0,0,0,4255,150,82,36,32,2799,3272,74,0,0
1772,36,0,1,3,2,1,11,1,2,0,9374,397,100,262,35,6165,7204,335,0,0
1773,31,0,1,2,3,0,8,2,0,0,4773,204,27,161,16,3535,3904,243,0,0
1775,21,0,1,4,1,0,4,0,1,0,7027,305,88,187,30,4716,5351,172,0,0
1776,29,0,1,2,3,0,7,0,2,0,18386,345,98,195,52,11944,13861,362,14,0
1778,25,0,1,2,2,0,6,0,1,0,13643,594,147,344,103,9385,10554,438,23,1
1801,54,0,2,5,4,3,10,2,5,1,39533,2791,882,1415,494,28759,32675,3688,36,1
1803,57,0,4,3,4,1,13,1,3,0,25698,1330,327,760,243,18559,21093,1453,34,1
1810,30,0,1,1,3,0,8,1,1,0,33682,1494,299,896,299,22455,26045,1991,11,0
1821,23,0,0,4,1,1,3,0,1,1,31689,1281,370,822,89,22304,26019,1834,45,0
1824,32,0,1,3,4,1,5,0,1,0,25709,823,81,649,93,18725,21021,1405,0,0
1826,17,0,0,4,1,0,2,0,0,0,30792,1759,497,1034,228,21369,24681,2244,94,0
1827,13,0,0,5,0,0,1,0,0,0,3310,78,22,40,16,2262,2647,94,0,0
1830,20,0,0,2,4,0,2,0,0,0,25165,3981,1360,2215,406,17566,20484,2450,14,1
1832,13,0,0,1,0,1,1,0,0,0,23072,2788,910,1692,186,16080,18568,2139,24,0
1833,24,0,0,4,2,1,3,0,1,0,8504,175,0,62,113,5847,6658,353,0,0
1834,18,0,0,4,0,1,2,0,1,0,6681,111,33,16,62,4533,5587,266,0,0
1835,23,0,1,2,1,3,2,1,1,0,12984,1086,313,685,88,8870,10398,1176,0,0
1840,64,0,2,2,13,5,5,1,2,1,5504,1827,387,1117,323,3302,4040,335,7,1
1841,8,0,0,0,1,0,0,0,0,0,47013,12947,4624,7043,1280,28100,35870,3101,193,1
1843,18,0,0,1,1,1,1,0,1,0,25835,5915,2250,3069,596,15669,19699,1845,8,1
1844,18,0,0,2,2,0,2,0,0,0,48685,4996,1671,2502,823,32974,39015,2915,51,0
1845,31,0,1,3,4,1,7,1,1,0,28580,1546,355,981,210,19545,22439,1505,0,0
1850,6,0,0,0,0,0,0,0,0,0,16031,3952,1555,2318,79,9456,12009,1183,0,0
1851,15,0,0,1,1,0,1,0,0,0,29649,5791,1994,3440,357,19676,23392,2451,33,0
1852,22,0,0,1,3,1,3,0,0,0,33565,6515,1987,3889,639,23642,27090,3320,110,0
1854,11,0,0,0,2,0,1,0,0,0,25770,6319,1713,4196,410,16257,20777,1862,134,0
1860,13,0,0,2,1,0,1,0,0,0,6671,371,151,203,17,4707,5530,256,0,1
1862,37,0,0,6,1,4,3,0,5,1,9898,438,128,275,35,6810,8007,660,0,0
1863,24,0,0,2,3,1,4,0,1,0,9067,352,36,186,130,6638,7345,665,0,0
1864,34,0,1,5,2,0,6,0,1,0,15370,487,54,310,123,10940,12398,756,0,0
1867,21,0,0,3,2,0,4,0,0,0,24757,671,226,292,153,17027,19339,1154,22,0
1876,25,0,0,4,2,1,3,0,1,0,29141,1590,385,931,274,21102,24160,1818,27,0
1879,26,0,1,6,0,1,3,1,1,0,12067,907,255,590,62,8677,9853,948,0,0
1880,34,0,1,4,3,1,8,1,1,0,25717,981,36,666,279,18733,21231,2150,0,0
1886,26,0,1,2,2,1,6,0,1,0,23789,586,160,262,164,15453,18115,971,0,1
1887,35,0,1,6,2,3,4,1,4,1,23024,663,249,318,96,15801,18550,1041,15,0
1890,25,0,1,1,4,0,6,1,0,0,22256,529,61,328,140,14730,16337,807,21,1
1901,175,0,9,2,34,5,25,7,5,1,1626,492,88,160,244,1053,1318,232,0,0
1902,9,0,0,1,1,0,0,0,0,0,46671,11359,4393,5612,1354,29298,35572,4208,121,0
1904,16,0,0,1,2,0,1,0,0,0,17060,1069,457,535,77,11986,13693,1463,38,0
1905,13,0,0,2,0,0,0,0,0,0,26095,5410,2163,2784,463,16487,19861,1932,37,1
1906,28,0,1,3,2,0,2,0,0,0,27535,2162,652,995,515,20518,23219,1654,36,0
1907,22,0,0,3,2,0,3,1,0,0,14141,840,288,445,107,9822,11163,985,23,0
1908,13,0,1,2,0,0,1,0,0,0,3418,144,11,65,68,2686,2949,358,0,0
1913,25,0,1,3,3,1,4,0,1,0,16858,942,144,631,167,12067,13925,1777,10,0
1915,34,0,1,2,4,1,6,1,1,0,38085,2946,669,1886,391,27422,31718,4509,125,0
1921,19,0,0,4,1,0,5,0,0,0,8198,171,96,75,0,5778,6458,323,16,0
1922,22,0,1,3,0,0,5,1,0,0,2771,141,0,68,73,2099,2431,335,50,0
1923,41,0,1,3,5,2,7,0,1,0,26782,1312,259,820,233,19505,22060,1829,21,0
1929,42,0,2,8,1,3,3,1,2,0,3632,205,67,74,64,2650,2990,213,0,0
1930,31,0,1,3,2,1,3,1,1,0,29299,2402,442,1407,553,22228,25028,2042,70,0
1937,28,0,0,0,0,0,0,0,7,0,139,109,0,102,7,139,139,0,0,0
1938,28,0,1,3,1,2,4,0,1,0,13581,965,130,636,199,10019,11239,1069,19,0
1940,30,0,0,3,2,0,8,1,1,0,13110,270,54,165,51,9302,10550,693,0,0
1944,32,0,1,3,3,0,8,1,1,0,5319,411,44,305,62,3930,4259,201,0,0
1945,27,0,1,3,2,0,5,0,1,0,20242,1163,265,621,277,14423,15997,979,34,0
1949,40,0,1,7,1,2,6,1,1,0,8066,349,41,237,71,5495,6417,542,0,1
1950,43,0,2,3,4,3,8,1,2,0,17533,1367,462,724,181,13234,14580,1943,15,0
1951,19,0,1,3,0,0,2,1,0,0,4066,193,66,115,12,3002,3421,337,0,0
1952,31,0,2,4,1,1,1,1,1,0,8844,911,143,668,100,6522,7662,838,10,0
1960,28,0,0,3,3,1,3,0,1,1,51483,4211,1069,2351,791,37628,43255,4145,127,0
