zcta,latitude,longitude,JobsTotal,JobsAgriculture,JobsAutomotive,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport
2338,42,-70.86,107,,,4,25,8,4,12,2,3,3
2339,42.12,-70.86,617,2,,15,74,53,30,91,11,26,5
2341,42.05,-70.87,168,1,,2,27,10,11,18,5,8,5
2343,42.14,-71,247,,,2,38,20,24,21,6,14,11
2346,41.88,-70.87,528,1,,6,96,53,21,64,14,21,21
2347,41.83,-70.96,280,,,13,40,25,12,49,12,19,10
2351,42.12,-70.96,322,,,8,44,23,12,36,13,11,11
2356,42.06,-71.12,306,,,13,42,41,7,54,7,13,2
2357,42.05,-71.08,2,,,,,,,,,,
2359,42.07,-70.81,500,2,,14,87,27,29,67,11,42,6
2360,41.88,-70.63,1473,1,1,61,154,197,43,256,43,49,25
2364,41.99,-70.74,370,,1,16,45,28,11,44,8,15,2
2366,41.85,-70.65,13,,,,3,,1,,2,,
2367,41.96,-70.8,57,1,,,13,4,7,8,2,5,
2368,42.18,-71.05,583,,,11,60,89,27,67,18,43,29
2370,42.13,-70.91,465,1,,11,84,20,32,78,14,47,12
2375,42.01,-71.08,400,1,,19,57,32,25,65,14,31,18
2379,42.02,-71.03,356,1,,6,54,30,29,36,9,33,21
2382,42.08,-70.94,227,,,3,38,12,18,26,4,9,4
2420,42.46,-71.22,492,,,26,24,81,8,148,11,14,1
2421,42.44,-71.24,562,,,34,34,77,14,220,15,21,4
2445,42.33,-71.14,488,,,22,17,101,6,102,23,18,2
2446,42.34,-71.12,723,,,38,15,177,10,113,54,13,3
2451,42.4,-71.26,1278,,,101,60,99,31,359,42,69,12
2452,42.39,-71.21,412,1,,32,34,42,10,86,20,13,5
2453,42.37,-71.24,827,,,29,81,93,55,129,29,32,15
2457,42.3,-71.27,18,,,1,,,1,,,1,
2458,42.35,-71.19,507,,,26,43,59,14,124,35,23,8
2459,42.31,-71.19,699,,,31,32,104,6,199,44,31,15
2460,42.35,-71.21,270,,,14,23,32,8,70,5,10,5
2461,42.32,-71.21,258,,,14,9,35,6,64,14,5,2
2462,42.33,-71.26,131,,,,1,59,,42,7,2,
2464,42.31,-71.22,268,,,10,10,31,7,66,12,12,4
2465,42.35,-71.23,296,,,16,22,35,2,66,8,16,7
2466,42.34,-71.25,290,1,,21,16,27,5,97,16,12,3
2467,42.31,-71.15,469,,,22,9,72,7,91,32,11,5
2468,42.33,-71.23,96,,,5,8,22,,27,6,5,
2472,42.37,-71.18,1024,,,82,97,112,44,182,31,34,17
2474,42.42,-71.16,458,,,20,55,65,4,95,15,10,2
2476,42.42,-71.18,417,,,17,32,68,6,85,18,6,5
2478,42.4,-71.18,562,1,,21,59,84,6,122,25,14,5
2481,42.31,-71.28,713,,,17,12,131,7,330,38,18,4
2482,42.29,-71.3,466,,,15,17,51,6,152,22,16,2
2492,42.28,-71.24,525,,,19,40,83,14,132,22,22,2
2493,42.36,-71.3,312,1,,17,28,49,7,99,14,16,3
2494,42.3,-71.23,669,,,40,50,58,20,215,40,51,10
2532,41.75,-70.6,289,,,16,34,29,2,39,11,10,12
