Commodity,Location,TotalCommodityOutput,Jobs
Wood kitchen cabinets and countertops,US,10952000000,90683
Home furniture - upholstered,US,8856000000,49412
"Home furniture - wood, nonupholstered",US,4108000000,31192
Institutional furniture,US,4555000000,22566
"Home furniture - Cabinets and non-wood, nonupholstered",US,2586000000,9957
Shelving and lockers,US,6648000000,39379
Office furniture and custom architectural woodwork and millwork,US,15720000000,60341
"Mattresses, blinds and shades",US,9564000000,38560
Surgical and medical instruments,US,36933000000,99792
Surgical appliance and supplies,US,31909878500,88170
Dental equipment and supplies,US,4260000000,15419
Ophthalmic goods,US,7169000000,20894
Dental laboratories,US,4581000000,39504
Jewelry and silverware,US,11351000000,54370
Sporting and athletic goods,US,9634999700,40895
"Dolls, toys, and games",US,1800000000,10806
Office supplies (not paper),US,3082998500,9688
Signs,US,7931000000,44381
"Gaskets, seals, musical instruments, fasteners, brooms, brushes, mop and other misc. goods",US,25453998800,99873
Dog and cat food,US,18976000000,21796
Other animal food,US,37120000000,37251
Flours and malts,US,19562000000,18666
Corn products,US,15464000000,11946
"Refined vegetable, olive, and seed oils",US,18892000000,8826
Vegetable oils and by-products,US,36915000000,6745
Breakfast cereals,US,9642000000,13440
"Sugar, candy, and chocolate",US,34003000000,67133
Frozen food,US,30337000000,82525
Fruit and vegetable preservation,US,38162000000,81443
Cheese,US,37414000000,38735
"Dry, condensed, and evaporated dairy",US,20099000000,16269
Fluid milk and butter,US,37602000000,52222
Ice cream and frozen desserts,US,7232000000,18156
Packaged poultry,US,57873000000,214925
Packaged meat (except poultry),US,140591000000,256756
Seafood,US,10553000000,28929
Bread and other baked goods,US,46392000000,363940
"Cookies, crackers, pastas, and tortillas",US,26395000000,70083
Snack foods,US,32307000000,52142
Coffee and tea,US,12628000000,17486
Flavored drink concentrates,US,9570000000,12899
Seasonings and dressings,US,19352000000,41299
All other foods,US,23270000000,65927
"Soft drinks, bottled water, and ice",US,45051000000,119302
Breweries and beer,US,31050000000,71790
Wineries and wine,US,16202000000,53049
Distilleries and spirits,US,19492000000,15519
Tobacco products,US,56647000000,16814
"Fiber, yarn, and thread",US,4828000000,17383
Fabric,US,11805000000,46814
Finished and coated fabric,US,9010000000,35196
Carpets and rugs,US,9082000000,31304
Curtains and linens,US,3725000000,17399
Other textiles,US,10457976300,59485
Clothing,US,12860970300,132448
Leather,US,6868000000,27115
Wood pulp,US,7538000000,7969
Paper,US,47736994300,74732
Cardboard,US,27973975700,32755
Cardboard containers,US,51581979300,146689
Paper bags and coated paper,US,19238972700,54522
Stationery,US,7152000000,20796
"Sanitary paper (tissues, napkins, diapers, etc.)",US,10382000000,21824
All other converted paper products,US,5140000000,18988
"Books, newspapers, magazines, and other print media",US,63008995800,349470
Printing support,US,4607000000,29818
"Gasoline, fuels, and by-products of petroleum refining",US,753987572800,71460
Asphalt pavement,US,13065000000,13670
Asphalt shingles,US,10345972100,10886
Other petroleum and coal products,US,34895996100,16900
Petrochemicals,US,104345988000,28458
Compressed Gases,US,7263976900,15544
Synthetic dyes and pigments,US,8854999700,13143
Other basic inorganic chemicals,US,37789976900,50425
Other basic organic chemicals,US,131252820300,55975
Plastics,US,86688000000,58235
Synthetic rubber and artificial and synthetic fibers,US,23147000000,49471
Medicinal and botanical ingredients,US,12203000000,21713
"Pharmaceutical products (pills, powders, solutions, etc.)",US,120588000000,140544
"Blood sugar, pregnancy, and other diagnostic test kits",US,11809000000,19018
Vaccines and other biological medical products,US,24189000000,27459
Fertilizers,US,26538000000,26557
Pesticides,US,14942000000,14609
Paints and coatings,US,23355948400,32992
Adhesives,US,11769000000,18647
Soap and cleaning compounds,US,45724998500,62239
Toiletries,US,30629000000,41194
Ink and ink cartridges,US,5102000000,9992
"Chemicals (except basic chemicals, agrichemicals, polymers, paints, pharmaceuticals,soaps, cleaning compounds)",US,38682000000,69459
"Plastic bags, films, and sheets",US,40293990400,92097
"Plastic pipe, fittings, and sausage casings",US,15184989800,42666
Laminated plastic plates and shapes,US,3612000000,18289
Polystyrene foam products,US,7765997900,34246
Urethane and other foam products,US,9175998500,33636
Plastic bottles,US,12330997000,33492
Other plastic products,US,83477971500,283372
Rubber tires,US,19825976900,55539
Rubber and plastic belts and hoses,US,5247000000,24387
Other rubber products,US,17101975100,54569
Motor vehicle and motor vehicle parts and supplies,US,103483930400,275348
Professional and commercial equipment and supplies,US,189761937600,570947
Household appliances and electrical and electronic goods,US,144293940900,254247
"Machinery, equipment, and supplies",US,158568822100,641437
Other durable goods merchant wholesalers,US,234204850600,917305
Drugs and druggists sundries,US,136216999400,147719
Grocery and related product wholesalers,US,132799998200,604334
Petroleum and petroleum products,US,160716952000,118648
Other nondurable goods merchant wholesalers,US,299159952900,970706
Wholesale electronic markets and agents and brokers,US,58370971500,686820
Customs duties,US,33503000000,0
Vehicles and parts sales,US,153479992500,912614
Food and beverage stores,US,189369000000,2730134
General merchandise stores,US,199112998800,2664876
Building material and garden equipment and supplies dealers,US,111296000000,1004733
Health and personal care stores,US,95749000000,974977
Gasoline stations,US,68139000000,836633
Clothing and clothing accessories stores,US,123458000000,1255656
Nonstore retailers,US,158944997900,346766
Other retail,US,185173998500,2125741
Air transport,US,193516861100,424422
Rail transport,US,77918988000,650
"Water transport (boats, ships, ferries)",US,45750994000,70052
Truck transport,US,291629903100,1274203
Passenger ground transport,US,65958964600,519498
Pipeline transport,US,39709996700,49144
Scenic and sightseeing transportation and support activities for transportation,US,127208815200,682360
Couriers and messengers,US,74264953800,637459
Warehousing,US,112115976000,882298
Newspapers,US,8654000000,57704
Magazines and journals,US,11325999700,37797
Books,US,30857000000,54333
"Directory, mailing list, and other publishers",US,10583000000,24776
Software,US,148124998500,248920
Movies and film,US,114729000000,358534
Sound recording,US,15751000000,16082
Radio and television,US,50976000000,69583
Cable and subscription programming,US,20709000000,12773
Telecommunications,US,328046936100,556134
Wireless telecommunications,US,199883915400,70715
"Satellite, telecommunications resellers, and all other telecommunications",US,24891997600,43654
Data processing and hosting,US,111379905200,228190
Internet publishing and broadcasting,US,50223955300,73801
"News syndicates, libraries, archives, Internet publishing and all other information services",US,8343000000,42269
Nondepository credit intermediation and related activities,US,287342992800,952057
Monetary authorities and depository credit intermediation,US,399620940900,1625019
"Investment advice, portfolio management, and other financial advising services",US,330650994900,604899
Securities and commodities brokerage and exchanges,US,154622991600,340216
Direct life insurance carriers,US,79206000000,232488
"Insurance carriers, except direct life",US,425120812500,650963
Insurance agencies and brokerages,US,297286986500,888459
"Funds, trusts, and financial vehicles",US,139734000000,119686
Owner-occupied housing,US,1276281000000,264861
Tenant-occupied housing,US,425960000000,95158
Other real estate,US,918306501100,1024104
Vehicle rental and leasing,US,99077835300,315485
Commercial equipment rental,US,83536874600,213417
Consumer goods and general rental centers,US,34689978700,222572
Lessors of nonfinancial intangible assets,US,156270898300,28002
Legal services,US,306887887800,1121657
Custom computer programming,US,201871000000,1006087
Computer systems design,US,142202963100,671472
"Other computer related services, including facilities management",US,72152977800,257935
"Accounting, tax preparation, bookkeeping, and payroll",US,159053889600,812486
"Architectural, engineering, and related services",US,286940836500,1368493
Management consulting,US,194808773200,882469
Environmental and other technical consulting services,US,44578958600,239934
Scientific research and development,US,475778992500,1574413
Advertising and public relations,US,322019909400,1019943
Specialized design,US,26569994900,117289
Photographers,US,11272998200,54740
Veterinarians,US,25520000000,237897
"Marketing research and all other miscellaneous professional, scientific, and technical services",US,80230975400,256242
Company and enterprise management,US,465620289000,1781464
Employment services,US,246378673300,2456520
Buildings and dwellings services,US,141776926200,1724314
Office administration,US,45733938500,410783
Facilities support,US,26269976000,140885
Business support,US,72095847900,835528
Travel arrangement and reservation,US,37672974500,166925
Investigation and security,US,52740966700,794778
Other support services,US,33963979900,220059
Solid waste collection,US,44805577741,193652
Hazardous waste collection treatment and disposal,US,12498119524,43414
Solid waste landfilling,US,7212631575,63134
Solid waste combustors and incinerators,US,4490811640,9617
Remediation services,US,13297907798,76562
Material separation/recovery facilities,US,5944579212,20943
Other waste collection and treatment services,US,8399222951,69046
Elementary and secondary schools,US,41383000000,6530307
"Colleges, universities, junior colleges, and professional schools",US,220985000000,2494339
Other educational services,US,72798000000,748868
Physicians,US,415070000000,2155646
Dentists,US,107155000000,893009
Healthcare practitioners (except physicians and dentists),US,82184000000,732243
Outpatient healthcare,US,102723000000,803706
Medical laboratories,US,52089000000,242944
Home healthcare,US,87311000000,1361293
Ambulances,US,33870000000,302061
Hospitals,US,851835000000,5462296
Nursing and community care facilities,US,168293000000,2475587
"Residential mental retardation, mental health, substance abuse and other facilities",US,41123000000,800520
Individual and family services,US,80482000000,2162240
Child day care,US,47135000000,845794
"Community food, housing, and other relief services, including rehabilitation services",US,43641000000,554861
Performances,US,29197997600,150797
Sports,US,32972994300,127073
"Independent artists, writers, and performers",US,33516991900,41153
Promoters and agents,US,24278999700,91328
"Museums, historical sites, zoos, and parks",US,14429000000,218220
Amusement parks and arcades,US,12160000000,147659
Gambling establishments (except casino hotels),US,90042000000,489357
"Golf courses, marinas, ski resorts, fitness and other rec centers and industries",US,66321993700,1088243
Hotels and campgrounds,US,174913867700,1658290
Full-service restaurants,US,281323893500,4717750
Limited-service restaurants,US,299570978100,4237192
All other food and drinking places,US,149812992500,2212491
Vehicle repair,US,185772830500,1279480
Electronic  equipment repair and maintenance,US,47295863200,200525
Commercial machinery repair,US,59689739600,307864
Household goods repair,US,32182920500,160585
Salons and barber shops,US,67714000000,598573
Funerary services,US,19219000000,135462
Dry-cleaning and laundry,US,25679997900,282302
"Pet care, photofinishing, parking and other sundry services",US,63670000000,358163
Religious organizations,US,82389000000,186415
"Grantmaking, giving, and social advocacy organizations",US,43820000000,288421
"Civic, social, professional, and similar organizations",US,72629993100,811737
Household employees,US,17330000000,291542
Federal general government (defense),US,650338000000,591387
Federal general government (nondefense),US,348913000000,1930211
Postal service,US,61749964600,700695
Other federal government enterprises,US,13751000000,23591
State and local government educational services,US,718720000000,40472
State and local government hospitals and health services,US,59805000000,22384
State and local government other services,US,738204000000,3526599
Other state and local government enterprises,US,85039977500,103836
Scrap,US,8544000000,32655
Used and secondhand goods,US,-1000000,0
Noncomparable imports,US,-14031800,0
Rest of the world adjustment,US,2906000000,16076
