Commodity,Location,Commodities,Output,Employees,Jobs
Plastics and rubber products,US-NH,1330817927,1.3 Billion,4966,5 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-NH,1302815312,1.3 Billion,7573,7.6 K
General merchandise stores,US-NH,1236503906,1.2 Billion,12292,12.3 K
Legal services,US-NH,1109865583,1.1 Billion,3819,3.8 K
Primary and secondary ferrous and nonferrous metals,US-NH,923130602,923.1 Million,2311,2.3 K
Vehicles and parts sales,US-NH,893984345,894 Million,8366,8.4 K
Hotels and campgrounds,US-NH,884454646,884.5 Million,5998,6 K
"Couriers, messengers, transportation for leisure activities",US-NH,875933229,875.9 Million,6367,6.4 K
"Child day care, community food services, housing services, and other relief services",US-NH,875233626,875.2 Million,14076,14.1 K
Truck transport,US-NH,718225004,718.2 Million,3032,3 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-NH,658042108,658 Million,1826,1.8 K
Waste management and remediation services,US-NH,651698486,651.7 Million,2036,2 K
"Data processing, internet publishing, and other information services",US-NH,620777182,620.8 Million,1561,1.6 K
"Wood products (e.g. plywood, veneer)",US-NH,561842291,561.8 Million,1643,1.6 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-NH,518389514,518.4 Million,884,884
Textiles and textile-dervied products (except clothes),US-NH,461183426,461.2 Million,1762,1.8 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-NH,451670019,451.7 Million,1990,2 K
Warehouses,US-NH,358095701,358.1 Million,2894,2.9 K
Print media and printing support,US-NH,313322183,313.3 Million,1624,1.6 K
"Performing arts, spectator sports, museums, and related activities",US-NH,301865098,301.9 Million,1457,1.5 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-NH,297273132,297.3 Million,1333,1.3 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-NH,284808880,284.8 Million,1449,1.4 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-NH,276682686,276.7 Million,330,330
Passenger ground transport,US-NH,267791056,267.8 Million,2622,2.6 K
Paper products and paper production facilities,US-NH,257835505,257.8 Million,881,881
Other state and local government enterprises including transit and utilities,US-NH,241510559,241.5 Million,8,8.0
Federal electric utilities and postal service,US-NH,225237159,225.2 Million,2587,2.6 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-NH,214223833,214.2 Million,448,448
"Funds, trusts, and financial vehicles",US-NH,176980876,177 Million,29,29.0
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-NH,166170137,166.2 Million,676,676
Film and sound-based entertainment,US-NH,152898061,152.9 Million,582,582
Air transport,US-NH,151929772,151.9 Million,405,405
"Metal ores, dimensional stone, nonmetallic minerals",US-NH,151478051,151.5 Million,325,325
Furniture and shelving,US-NH,138122348,138.1 Million,871,871
Clothing and leather,US-NH,124627018,124.6 Million,715,715
Pipeline transport,US-NH,41407054,41.4 Million,23,23.0
"Scrap, used and secondhand goods",US-NH,37016559,37 Million,76,76.0
"Water transport (boats, ships, ferries)",US-NH,32930052,32.9 Million,32,32.0
Well drilling and support activities for mining,US-NH,30518097,30.5 Million,145,145
Rail transport,US-NH,18176302,18.2 Million,0,0.0
Noncomparable imports and rest-of-the-world adjustment,US-NH,9864845,9.9 Million,3,3.0
Unrefined oil and gas,US-NH,531149,531.1 K,1,1.0
